call_id, lat, lng, call_time, total_time, vehicle_num,amb_segment_id
20100012345444,17.3891379,77.8367282,11/19/10 10:13:38,77,AP29TA3771,1112
20100012345725,17.4482408,78.4400235,11/19/10 10:28:00,20,AP28W9035,5497
20100012346021,17.42944444,78.58694444,11/19/10 10:38:37,38,AP29TA3306,781
20100012348371,17.4249658,78.4030633,11/19/10 11:50:01,45,AP29TA3650,802
20100012348386,17.4254413,78.4084444,11/19/10 11:50:24,25,AP29TA3487,803
20100012349084,17.3957323,78.4412297,11/19/10 12:12:55,22,AP29TA3487,803
20100012349779,17.19333333,78.64805556,11/19/10 12:35:04,19,AP28TA3656,1361
20100012351495,17.10972222,77.82527778,11/19/10 13:26:04,34,AP28TA2991,1023
20100012352382,17.9965632,78.9898564,11/19/10 13:49:00,23,AP29TA3691,795
20100012354301,17.385044,78.486671,11/19/10 14:50:16,54,AP29TA4705,5495
20100012356183,17.42222222,78.55833333,11/19/10 15:48:35,71,AP28TA2981,847
20100012356184,17.42222222,78.55833333,11/19/10 15:48:36,50,AP29U6089,467
20100012356511,17.44972222,78.68444444,11/19/10 15:56:16,49,AP29TA3549,579
20100012356735,17.453333,78.4625,11/19/10 16:01:22,28,AP29TA3487,803
20100012356780,17.9965632,78.9898564,11/19/10 16:02:27,28,AP29TA3301,790
20100012356924,17.3835743,78.486921,11/19/10 16:05:42,21,AP29TA4985,792
20100012356927,17.385044,78.486671,11/19/10 16:05:44,63,AP28W4644,797
20100012357115,17.32416667,78.41805556,11/19/10 16:10:13,32,AP29TA3107,5517
20100012358159,17.458798,78.3672415,11/19/10 16:40:06,39,AP29TA4911,5507
20100012358233,17.12833333,78.58222222,11/19/10 16:41:59,80,AP29TA3306,781
20100012358831,17.385044,78.486671,11/19/10 17:00:51,50,AP28W9036,1247
20100012359179,17.19638889,78.65194444,11/19/10 17:11:19,95,AP29TA3300,1345
20100012359682,17.35222222,78.57333333,11/19/10 17:27:46,47,AP29TA3325,556
20100012359897,17.29222222,78.68833333,11/19/10 17:33:30,47,AP28TA3122,775
20100012359937,17.4592483,78.3214049,11/19/10 17:34:59,75,AP29U6122,446
20100012360089,17.3762894,78.4949434,11/19/10 17:40:14,50,AP29TA3106,658
20100012360591,17.385044,78.486671,11/19/10 17:57:10,21,AP29TA3487,803
20100012360987,17.385044,78.486671,11/19/10 18:09:52,50,AP28TA2991,1023
20100012361249,17.385044,78.486671,11/19/10 18:16:17,52,AP29TA4705,5495
20100012361405,17.27944444,77.90694444,11/19/10 18:19:34,50,AP29TA3106,658
20100012362823,17.9965632,78.9898564,11/19/10 18:56:32,38,AP29TA3691,795
20100012363398,17.42944444,78.58694444,11/19/10 19:12:08,39,AP29TA3306,781
20100012363814,17.3891379,77.8367282,11/19/10 19:22:30,24,AP28W9300,779
20100012365199,17.385044,78.486671,11/19/10 20:01:53,17,AP29TA3691,795
20100012366228,17.3957323,78.4412297,11/19/10 20:35:21,52,AP29TA3650,802
20100012366920,17.385044,78.486671,11/19/10 20:58:10,41,AP28TA3617,5493
20100012366974,17.4077451,78.4429785,11/19/10 21:00:21,55,AP29TA3691,795
20100012368175,17.4278652,78.5321094,11/19/10 21:45:08,30,AP29TA3330,826
20100012368204,17.385044,78.486671,11/19/10 21:46:40,33,AP29TA3650,802
20100012368906,17.42222222,78.55833333,11/19/10 22:20:24,59,AP28W4643,5482
20100012369424,17.21333333,77.64305556,11/19/10 22:58:55,37,AP29TA3330,826
20100012369691,17.62194444,78.42833333,11/19/10 23:19:37,22,AP29TA3771,1112
20100012369963,17.41833333,78.63,11/19/10 23:45:35,30,AP29U6089,467
20100012370038,17.62194444,78.42833333,11/19/10 23:52:26,27,AP28W9300,779
20100012370478,17.21333333,77.64305556,11/20/10 1:15:41,70,AP29TA4909,678
20100012371355,17.4945054,78.4592092,11/20/10 5:15:23,21,AP28TA3122,775
20100012372604,17.385044,78.486671,11/20/10 6:57:03,37,AP29TA3630,897
20100012374337,17.385044,78.486671,11/20/10 8:15:49,43,AP29TA3650,802
20100012374914,17.385044,78.486671,11/20/10 8:37:08,26,AP29TA3630,897
20100012374990,17.4092512,78.5065211,11/20/10 8:40:13,35,AP29TA4705,5495
20100012375471,17.4109076,78.4801671,11/20/10 8:59:59,15,AP29TA3630,897
20100012375500,17.51472222,78.44777778,11/20/10 9:01:24,44,AP29U4225,5494
20100012375727,17.42944444,78.58694444,11/20/10 9:10:45,34,AP28W8394,5499
20100012377167,17.3660768,78.4602749,11/20/10 10:07:36,27,AP28W9202,805
20100012377222,17.385044,78.486671,11/20/10 10:09:44,46,AP29TA3301,790
20100012377594,17.47305556,78.42305556,11/20/10 10:24:53,50,AP28TA3122,775
20100012377752,17.4211281,78.4651547,11/20/10 10:31:29,38,AP28TA2980,788
20100012378381,17.3891379,77.8367282,11/20/10 10:54:41,25,AP28W9035,5497
20100012380161,16.96194444,77.80888889,11/20/10 11:51:04,44,AP28TA3122,775
20100012380227,17.385044,78.486671,11/20/10 11:53:24,58,AP28W9034,783
20100012381455,17.385044,78.486671,11/20/10 12:31:20,67,AP29TA3301,790
20100012382236,17.385044,78.486671,11/20/10 12:53:06,67,AP28TA3122,775
20100012382865,17.42222222,78.55833333,11/20/10 13:10:10,25,AP29U4259,787
20100012384060,17.3947558,78.4840741,11/20/10 13:40:01,40,AP29TA4985,792
20100012385087,17.3891379,77.8367282,11/20/10 14:04:51,70,AP28TA3122,775
20100012388553,17.39277778,78.69138889,11/20/10 15:38:31,51,AP29TA3300,1345
20100012388840,17.35222222,78.57333333,11/20/10 15:45:30,85,AP28W7689,796
20100012389620,17.3683753,78.5301903,11/20/10 16:07:19,52,AP28TA2981,847
